cycle,query_idx,query,latency,trust_score,retrieval_accuracy,answer_quality,reasoning_steps,edges_strengthened,emergent_edges,avg_edge_strength,num_relations,condition
1,0,Which smart contracts have vulnerabilities and have not been audited?,15.13,0.625,0.0,0.65,2,0,0,1.0,97,static
1,1,What tokens trade on UniswapV3 and are governed by DAOs?,7.06,0.625,1.0,0.65,2,0,0,1.0,97,static
1,2,What financial analysis capabilities does the system have?,42.98,0.95,0.0,0.76,0,0,0,1.0,97,static
1,3,What are the security risks for the ApolloContract?,36.25,0.625,0.0,0.65,2,0,0,1.0,97,static
1,4,List security risks in ApolloContract,36.17,0.675,0.4,0.67,2,0,0,1.0,97,static
1,5,What security risks exist for contracts that provide liquidity?,48.08,0.887,0.0,0.735,0,0,0,1.0,97,static
1,6,"If all smart contracts are secure, is ApolloContract secure?",37.17,0.625,0.4,0.65,2,0,0,1.0,97,static
1,7,How do security vulnerabilities impact financial risk assessment?,46.75,0.877,0.0,0.731,0,0,0,1.0,97,static
1,8,What DAOs use on-chain voting for protocols with liquidity pools?,36.44,0.75,0.0,0.7,2,0,0,1.0,97,static
1,9,Which contracts integrate with exchanges and have been audited?,46.87,0.95,0.0,0.76,0,0,0,1.0,97,static
2,0,Which smart contracts have vulnerabilities and have not been audited?,36.33,0.5,0.0,0.6,2,0,0,1.0,97,static
2,1,What tokens trade on UniswapV3 and are governed by DAOs?,36.22,0.625,1.0,0.65,2,0,0,1.0,97,static
2,2,What financial analysis capabilities does the system have?,48.27,0.95,0.0,0.76,0,0,0,1.0,97,static
2,3,What are the security risks for the ApolloContract?,35.26,0.75,0.0,0.7,2,0,0,1.0,97,static
2,4,List security risks in ApolloContract,37.19,0.625,0.4,0.65,2,0,0,1.0,97,static
2,5,What security risks exist for contracts that provide liquidity?,46.82,0.9,0.0,0.74,0,0,0,1.0,97,static
2,6,"If all smart contracts are secure, is ApolloContract secure?",36.87,0.575,0.4,0.63,2,0,0,1.0,97,static
2,7,How do security vulnerabilities impact financial risk assessment?,47.45,0.95,0.0,0.76,0,0,0,1.0,97,static
2,8,What DAOs use on-chain voting for protocols with liquidity pools?,36.63,0.625,0.0,0.65,2,0,0,1.0,97,static
2,9,Which contracts integrate with exchanges and have been audited?,47.38,0.95,0.0,0.76,0,0,0,1.0,97,static
3,0,Which smart contracts have vulnerabilities and have not been audited?,36.81,0.75,0.0,0.7,2,0,0,1.0,97,static
3,1,What tokens trade on UniswapV3 and are governed by DAOs?,35.03,0.6,1.0,0.64,2,0,0,1.0,97,static
3,2,What financial analysis capabilities does the system have?,47.9,0.95,0.0,0.76,0,0,0,1.0,97,static
3,3,What are the security risks for the ApolloContract?,36.53,0.625,0.0,0.65,2,0,0,1.0,97,static
3,4,List security risks in ApolloContract,36.34,0.625,0.4,0.65,2,0,0,1.0,97,static
3,5,What security risks exist for contracts that provide liquidity?,47.21,0.887,0.0,0.735,0,0,0,1.0,97,static
3,6,"If all smart contracts are secure, is ApolloContract secure?",35.92,0.75,0.4,0.7,2,0,0,1.0,97,static
3,7,How do security vulnerabilities impact financial risk assessment?,48.29,0.95,0.0,0.76,0,0,0,1.0,97,static
3,8,What DAOs use on-chain voting for protocols with liquidity pools?,36.08,0.575,0.0,0.63,2,0,0,1.0,97,static
3,9,Which contracts integrate with exchanges and have been audited?,47.62,0.925,0.0,0.75,0,0,0,1.0,97,static
4,0,Which smart contracts have vulnerabilities and have not been audited?,36.61,0.625,0.0,0.65,2,0,0,1.0,97,static
4,1,What tokens trade on UniswapV3 and are governed by DAOs?,36.32,0.625,1.0,0.65,2,0,0,1.0,97,static
4,2,What financial analysis capabilities does the system have?,47.74,0.95,0.0,0.76,0,0,0,1.0,97,static
4,3,What are the security risks for the ApolloContract?,36.52,0.625,0.0,0.65,2,0,0,1.0,97,static
4,4,List security risks in ApolloContract,34.75,0.625,0.4,0.65,2,0,0,1.0,97,static
4,5,What security risks exist for contracts that provide liquidity?,48.56,0.863,0.0,0.725,0,0,0,1.0,97,static
4,6,"If all smart contracts are secure, is ApolloContract secure?",35.99,0.625,0.4,0.65,2,0,0,1.0,97,static
4,7,How do security vulnerabilities impact financial risk assessment?,47.89,0.895,0.0,0.738,0,0,0,1.0,97,static
4,8,What DAOs use on-chain voting for protocols with liquidity pools?,36.6,0.875,0.0,0.75,2,0,0,1.0,97,static
4,9,Which contracts integrate with exchanges and have been audited?,47.18,0.95,0.0,0.76,0,0,0,1.0,97,static
5,0,Which smart contracts have vulnerabilities and have not been audited?,36.5,0.6,0.0,0.64,2,0,0,1.0,97,static
5,1,What tokens trade on UniswapV3 and are governed by DAOs?,35.84,0.625,1.0,0.65,2,0,0,1.0,97,static
5,2,What financial analysis capabilities does the system have?,48.09,0.95,0.0,0.76,0,0,0,1.0,97,static
5,3,What are the security risks for the ApolloContract?,35.59,0.55,0.0,0.62,2,0,0,1.0,97,static
5,4,List security risks in ApolloContract,36.24,0.625,0.4,0.65,2,0,0,1.0,97,static
5,5,What security risks exist for contracts that provide liquidity?,48.43,0.887,0.0,0.735,0,0,0,1.0,97,static
5,6,"If all smart contracts are secure, is ApolloContract secure?",35.14,0.575,0.4,0.63,2,0,0,1.0,97,static
5,7,How do security vulnerabilities impact financial risk assessment?,47.97,0.95,0.0,0.76,0,0,0,1.0,97,static
5,8,What DAOs use on-chain voting for protocols with liquidity pools?,37.24,0.625,0.0,0.65,2,0,0,1.0,97,static
5,9,Which contracts integrate with exchanges and have been audited?,47.25,0.95,0.0,0.76,0,0,0,1.0,97,static
